conversation_id,turn_no,utterance,keyterm_answer
11,13,"Okay, that seems reasonable. Can you send me a quote?","The keyterm extracted are Quote, Premiums"
12,1,"Hi, I'm interested in getting a motor insurance quote for my 2022 Royal Enfield Classic 350.","The keyterm extracted are Motor insurance quote, 2022 Royal Enfield Classic 350"
12,3,"Yes, exactly. I don't use it for daily commuting, mostly weekend rides.",The keyterm extracted are None
12,5,What does the standard plan cover?,"The keyterm extracted are Standard plan, coverage"
12,7,"Okay, and how much would that cost?",The keyterm extracted are Premiums
12,9,Are there any discounts available?,The keyterm extracted are Discounts
12,11,That sounds good. I'm happy to purchase online.,The keyterm extracted are None
12,13,"Okay, let's proceed with the online purchase then.",The keyterm extracted are None
13,1,I'm looking to insure my bike. It's a 2022 Yamaha MT-07.,"The keyterm extracted are motor insurance, bike, Yamaha MT-07"
13,3,Mostly for commuting to work daily.,The keyterm extracted are None
13,5,What does the comprehensive plan cover exactly?,"The keyterm extracted are Comprehensive plan, coverage options"
13,7,"Okay, that sounds good. How about roadside assistance?",The keyterm extracted are Roadside assistance
13,9,What company is this through?,The keyterm extracted are None
13,11,And the cost?,The keyterm extracted are Premiums
13,13,Telematics? Tell me more.,The keyterm extracted are Telematics
13,15,"Okay, that sounds interesting. Send me the details and I will review it.",The keyterm extracted are None
14,1,"Hi, I'm looking for car insurance for my 2018 Tesla Model 3.","The keyterm extracted are Car insurance, Tesla Model 3"
14,3,"Yes, I want the best protection possible. Money isn't really an issue, but I need to know my car is fully covered.","The keyterm extracted are Best protection, Comprehensive coverage, No budget issue"
14,5,What kind of coverage are we talking about?,The keyterm extracted are Coverage options
14,7,"Zero depreciation sounds essential. What about coverage for the battery? It's an EV, after all.","The keyterm extracted are Zero Depreciation, Battery coverage"
14,9,What's the premium for this level of coverage?,The keyterm extracted are Premium
14,11,That sounds reasonable. What is the Insured Declared Value (IDV)?,The keyterm extracted are IDV (Insured Declared Value)
14,13,Great. How do I proceed with purchasing this policy?,The keyterm extracted are Purchasing policy
15,1,I need to renew my car insurance. It's for a 2010 Honda Civic.,"The keyterm extracted are Car insurance, 2010 Honda Civic, renewal"
15,3,"I'm on a fixed income, so price is definitely a factor. But I still need decent coverage.","The keyterm extracted are Price, Decent coverage"
15,5,What does that actually cover?,The keyterm extracted are Coverage options
15,7,"Hmm, I see. How much would that cost?",The keyterm extracted are Premiums
15,9,Is there anything else I should consider?,The keyterm extracted are None
15,11,How much would that add to the premium?,The keyterm extracted are Premiums
15,13,"Okay, that doesn't sound too bad. What about discounts?",The keyterm extracted are Discounts
15,15,"Alright, that sounds good. Let's go with the third-party liability and the personal accident cover.","The keyterm extracted are Third-party liability, Personal accident cover"
16,1,"Hi, I'm interested in getting motor insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The keyterm extracted are Motor insurance, Royal Enfield Interceptor 650"
16,3,Mostly weekend rides. I like to take it out on the open road when I have time.,The keyterm extracted are None
16,5,Roadside assistance does sound good. What exactly does your comprehensive policy cover?,"The keyterm extracted are Comprehensive policy, Roadside assistance"
16,7,"Okay, good to know. How much would a comprehensive policy cost me?","The keyterm extracted are Comprehensive policy, Premiums"
16,9,That sounds reasonable. Does it include zero depreciation?,The keyterm extracted are Zero Depreciation
16,11,"Okay, that's good to know. I'm interested. Can you send me a quote with and without the zero depreciation cover?","The keyterm extracted are Zero Depreciation, Quote"
17,1,"Hi, I'm looking to get insurance for my bike. It's a 2022 Yamaha MT-07.","The keyterm extracted are motor insurance, bike, Yamaha MT-07"
17,3,"Yeah, I was thinking comprehensive would be best. I commute in heavy traffic, so I want to be covered. What are my options?","The keyterm extracted are Comprehensive, Coverage options, Heavy traffic"
17,5,"Okay, good to know. What kind of coverage levels are we talking about?",The keyterm extracted are Coverage levels
17,7,That sounds pretty good. What about add-ons? Are there any I should consider?,The keyterm extracted are Add-ons
17,9,"Roadside assistance does sound useful. Okay, what's the damage? How much would all of this cost?","The keyterm extracted are Roadside assistance, Cost, Damage"
17,11,That sounds reasonable. Can you send me a quote with all the details?,"The keyterm extracted are Quote, Details, Comprehensive plan, Accidental damage, Theft, Third-party liability, Zero Depreciation, Budget"
18,1,"Hi, I'm looking to get insurance for my bike. It's a 2022 Yamaha MT-07.","The keyterm extracted are motor insurance, bike, Yamaha MT-07"
18,3,"Yes, I use it every day for my commute. What kind of coverage do you recommend?",The keyterm extracted are Daily use coverage
18,5,Roadside assistance sounds useful. What else does the comprehensive policy cover?,"The keyterm extracted are Comprehensive policy, Roadside assistance"
18,7,"Okay, that sounds good. Which company do you recommend?",The keyterm extracted are None
18,9,And what's the premium for the comprehensive policy with Bajaj Allianz?,"The keyterm extracted are Comprehensive policy, Bajaj Allianz, Premium"
18,11,That sounds pretty reasonable. I am interested in the policy. Can I get additional discount on it?,"The keyterm extracted are Policy, Discounts"
18,13,"Sure, that sounds great. Please provide me with the discount.",The keyterm extracted are Discount
19,1,"Hi, I am looking for a motor insurance policy for my bike. It's a 2022 Royal Enfield Classic 350.","The keyterm extracted are Motor insurance policy, Royal Enfield Classic 350, Third-party liability (implied), Coverage options (implied)"
19,3,What all is covered in a comprehensive policy?,"The keyterm extracted are Comprehensive policy, Coverage options"
19,5,That sounds good. What would be the premium for a comprehensive policy?,"The keyterm extracted are Comprehensive policy, Premium"
19,7,Are there any add-ons available with this policy?,The keyterm extracted are Add-ons
19,9,What is Zero Depreciation Cover?,The keyterm extracted are Zero Depreciation Cover
19,11,"Okay, that makes sense. How much would the policy cost with Zero Depreciation and Roadside Assistance?","The keyterm extracted are Zero Depreciation, Roadside Assistance, Cost"
19,13,That sounds like a good deal. Can you send me more details about the policy?,"The keyterm extracted are Policy details, None (no specific terms related to insurance policy types, coverage options, claims, add-ons, premiums, bonuses, discounts, legal and regulatory terms, or budgets were mentioned in the user input)"
19,15,Thank you. I look forward to receiving it.,The keyterm extracted are None
20,1,I need to insure my 2024 Tesla Model 3. What are my options?,"The keyterm extracted are Motor insurance options, 2022 Tesla Model 3, Insurance coverage types"
20,3,What kind of coverage do you recommend?,The keyterm extracted are Coverage options
20,5,Why is IDV important?,The keyterm extracted are IDV (Insured Declared Value)
20,7,And what about coverage for the battery? Itâ€™s an electric car.,The keyterm extracted are Battery coverage
20,9,How much will all this cost?,The keyterm extracted are Premiums
20,11,That's a bit expensive. Are there any discounts available?,The keyterm extracted are Discounts
20,13,"Okay, that sounds interesting. Tell me more about the usage-based insurance.",The keyterm extracted are Usage-based insurance
21,1,"Hi, I'm looking for car insurance for my daughter. She just got a 2018 Honda CR-V.","The keyterm extracted are Car insurance, Honda CR-V, 2018"
21,3,What does the comprehensive policy cover?,"The keyterm extracted are Comprehensive policy, Coverage"
21,5,What about roadside assistance? Is that included?,The keyterm extracted are Roadside assistance
21,7,How much would the comprehensive policy with roadside assistance cost?,"The keyterm extracted are Comprehensive policy, Roadside assistance, Cost"
21,9,Are there any discounts for new drivers?,"The keyterm extracted are Discounts, new drivers"
21,11,"Okay, good to know. What about the company's reputation?",The keyterm extracted are None (No motor insurance-related terms present)
21,13,That sounds pretty good. Can you send me a quote?,"The keyterm extracted are Quote, Comprehensive plan, Accidental damage, Theft, Third-party liability, Zero Depreciation"
22,1,"Hi, I'm looking for motor insurance for my bike, a 2022 Royal Enfield Interceptor 650.","The keyterm extracted are Motor insurance, bike, Royal Enfield Interceptor 650"
22,3,"Mostly weekend rides and occasional trips. I'm pretty careful, but you never know.","The keyterm extracted are Weekend rides, occasional trips, careful (No insurance, claims, add-ons, premiums, bonuses, discounts, legal terms, or budget mentioned)"
22,5,That's reassuring. What kind of coverage would you recommend?,"The keyterm extracted are Coverage options, Recommend"
22,7,"Okay, what about the claims process if something happens?",The keyterm extracted are Claims process
22,9,That sounds good. What would be the premium for the comprehensive policy?,"The keyterm extracted are Comprehensive policy, Premium"
22,11,That's not too bad. What about add-ons like roadside assistance?,The keyterm extracted are Roadside assistance
22,13,"Okay, that sounds good. Can you send me a quote with the roadside assistance included?","The keyterm extracted are Quote, Roadside assistance"
23,1,"Hi, I want to get insurance for my bike. It's a 2022 Royal Enfield Classic 350.","The keyterm extracted are motor insurance, bike, Royal Enfield Classic 350"
23,3,What kind of coverage options do you offer?,The keyterm extracted are Coverage options
23,5,What is the cost of comprehensive coverage?,"The keyterm extracted are Comprehensive coverage, Premiums"
23,7,Does it include roadside assistance?,The keyterm extracted are Roadside assistance
23,9,"Okay, that sounds good. What about the company's reputation?","The keyterm extracted are None (No insurance policy types, coverage options, claims, add-ons, premiums, bonuses, discounts, legal and regulatory terms, or budgets were mentioned in the input.)"
23,11,That's reassuring. Can you send me a quote with the comprehensive coverage and roadside assistance?,"The keyterm extracted are Comprehensive coverage, Roadside assistance"
24,1,I'm looking for motor insurance for my 2022 Royal Enfield Classic 350.,"The keyterm extracted are Motor insurance, 2022 Royal Enfield Classic 350"
24,3,"I want something reliable that won't break the bank, but I also want to be covered if anything happens.","The keyterm extracted are Reliable, motor insurance, budget, coverage"
24,5,"Okay, what does that include?",The keyterm extracted are None
24,7,What about add-ons? Are there any that are worth considering?,The keyterm extracted are Add-ons
24,9,That sounds great. What would the premium be for a comprehensive policy with the NCB discount for my bike?,"The keyterm extracted are Comprehensive policy, NCB discount, Premium"
24,11,That sounds reasonable. I'm interested. Can you send me the details?,The keyterm extracted are None
25,1,"Hello, I'm looking to insure my car. It's a 2022 Tesla Model 3.","The keyterm extracted are Car insurance, Tesla Model 3, 2022"
25,3,What does 'comprehensive' actually cover?,The keyterm extracted are Comprehensive (coverage)
25,5,"Okay, that sounds good. Which company do you recommend?",The keyterm extracted are None
25,7,And how much would that cost me?,The keyterm extracted are Premiums
25,9,Are there any discounts available?,The keyterm extracted are Discounts
25,11,"Okay, that sounds promising. I'm interested.",The keyterm extracted are None
26,1,"Hi, I want to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The keyterm extracted are motor insurance, bike, Royal Enfield Interceptor 650"
26,3,"I guess something in between. I don't ride every day, but I want to be covered if something happens.","The keyterm extracted are In-between coverage, Accident coverage"
26,5,"Okay, what kind of coverage would you recommend?","The keyterm extracted are Coverage options, Recommend"
26,7,How much would that cost?,The keyterm extracted are Premiums
26,9,That sounds reasonable. What about roadside assistance?,The keyterm extracted are Roadside assistance
26,11,"Okay, that's good to know. Can you send me a quote?","The keyterm extracted are Quote, Premiums"
27,1,"Hi, I'm looking to get insurance for my bike. It's a 2022 Yamaha MT-07.","The keyterm extracted are motor insurance, bike, Yamaha MT-07"
27,3,"I use it for daily commuting to work. Safety is important to me, but I'm also looking for a plan that's good value for money.","The keyterm extracted are Daily commuting, Safety, Good value for money (Note: ""good value for money"" is a bit long, but it's related to the concept of budget and premiums)"
27,5,What does the comprehensive coverage include?,"The keyterm extracted are Comprehensive coverage, Third-party liability, Accidental damage, None (no budget or claims mentioned)"
27,7,And what about if my bike breaks down? Is there any coverage for that?,"The keyterm extracted are Bike breakdown, Coverage"
27,9,"Okay, that sounds good. How much would all of that cost?",The keyterm extracted are Premiums
27,11,That sounds reasonable. Can you send me a detailed quote?,"The keyterm extracted are Detailed quote, Comprehensive plan, Accidental damage, Theft, Third-party liability, Zero Depreciation"
28,1,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Classic 350.","The keyterm extracted are motor insurance, bike, Royal Enfield Classic 350"
28,3,What does comprehensive cover?,The keyterm extracted are Comprehensive cover
28,5,What company do you recommend?,The keyterm extracted are None
28,7,And how much would that cost me?,The keyterm extracted are Premiums
28,9,Are there any discounts available?,The keyterm extracted are Discounts
28,11,"Ok, what add-ons do you recommend?",The keyterm extracted are Add-ons
28,13,"Okay, that sounds good. Can you send me a quote with the comprehensive coverage and roadside assistance?","The keyterm extracted are Comprehensive coverage, Roadside assistance"
29,1,"Hi, I'm interested in getting a motor insurance quote for my bike. It's a 2022 Royal Enfield Classic 350.","The keyterm extracted are Motor insurance quote, Royal Enfield Classic 350, Third-party liability, Accidental damage, Theft, Add-ons (e.g., Zero Depreciation), Budget, Claim process"
29,3,"I mostly use it for weekend rides, so I'm looking for something that offers good value without breaking the bank.","The keyterm extracted are Weekend rides, Good value, Budget"
29,5,What exactly does a comprehensive policy cover for bikes?,"The keyterm extracted are Comprehensive policy, Bike coverage"
29,7,Is there any benefit if I haven't made any claims on my previous insurance?,"The keyterm extracted are Previous claims, Bonus"
29,9,That's great! How much would the comprehensive policy with the NCB discount cost me?,"The keyterm extracted are Comprehensive policy, NCB discount, Premiums"
29,11,"Okay, that sounds pretty good. Which insurance company are you recommending?",The keyterm extracted are None
29,13,"Alright, I think I'm interested. Can you send me a quote with the details?","The keyterm extracted are Quote, Details, Comprehensive plan, Third-party liability, Accidental damage, Theft, Zero Depreciation, Budget"
30,1,"Hi, I'm interested in getting motor insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The keyterm extracted are Motor insurance, Royal Enfield Interceptor 650"
30,3,"Exactly. I don't use it every day, but when I do, I want to be sure I'm covered if something happens.",The keyterm extracted are None
30,5,What kind of coverage options do you have for bikes like mine?,The keyterm extracted are Bike coverage options
30,7,How much more expensive is comprehensive?,"The keyterm extracted are Comprehensive, Premiums"
30,9,That's interesting. What else does the comprehensive policy include?,The keyterm extracted are Comprehensive policy
30,11,"Roadside assistance is a nice bonus. Okay, sounds good. Send me the details.","The keyterm extracted are Roadside assistance, Bonus"
31,1,I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.,"The keyterm extracted are Motor insurance, bike, Royal Enfield Interceptor 650"
31,3,"I want good coverage, but I'm also budget-conscious. I don't ride every day, mostly weekends.","The keyterm extracted are Good coverage, Budget, Weekends"
31,5,"What does 'comprehensive' actually cover, though?",The keyterm extracted are Comprehensive (coverage)
31,7,What about the claim process? I've heard it can be a nightmare.,The keyterm extracted are Claim process
31,9,"Okay, that's reassuring. How much would the comprehensive coverage cost?","The keyterm extracted are Comprehensive coverage, Cost"
31,11,Roadside assistance sounds good. What does that cover?,"The keyterm extracted are Roadside assistance, Coverage"
31,13,"Okay, sounds like a good package. Can I see a detailed quote?","The keyterm extracted are Detailed quote, Package (implied: motor insurance)"
31,15,"Yes, please include that! Thanks!",The keyterm extracted are None
32,1,"Hi, I need insurance for my new electric vehicle. It's a 2024 Tata Nexon EV.","The keyterm extracted are motor insurance, electric vehicle, Tata Nexon EV"
32,3,"Yes, definitely. I want to make sure it's fully covered. I drive it to work every day, and I have a family to consider, so safety is paramount.","The keyterm extracted are Fully covered, Safety, Family, Work (implied coverage), Safety (implied coverage)"
32,5,What does the personal accident cover include?,"The keyterm extracted are Personal accident cover, None (as there are no other relevant terms in the given user input)"
32,7,That sounds important. Are there any specific features that are good for EVs?,The keyterm extracted are EV features
32,9,What about the insurance company itself? I want to be sure it's reliable.,The keyterm extracted are None (No specific motor insurance-related terms were present in the user input)
32,11,How much would all of this cost?,The keyterm extracted are Premiums
32,13,What is Telematics-Based Monitoring?,The keyterm extracted are Telematics-Based Monitoring (not directly related to the specified categories)
32,15,"That's interesting! Okay, send me a detailed quote, please.","The keyterm extracted are Detailed quote, Premiums"
33,1,"I need to get insurance for my car, a 2020 Maruti Suzuki Swift.","The keyterm extracted are Car insurance, 2020 Maruti Suzuki Swift"
33,3,"I'm a student, so definitely budget-conscious, but I don't want to be completely unprotected.","The keyterm extracted are Budget-conscious, Unprotected"
33,5,What's included in the basic plan?,The keyterm extracted are Basic plan
33,7,Does it cover damage to my own car?,"The keyterm extracted are Damage, Own car"
33,9,How much is the third-party liability coverage?,The keyterm extracted are Third-party liability coverage
33,11,A digital discount? How much is that?,"The keyterm extracted are Digital discount, Premiums"
33,13,That sounds good. I'm comfortable buying online.,The keyterm extracted are None
33,15,"Yes, please do! Thanks!",The keyterm extracted are None
34,1,I'm looking to insure my bike. It's a 2022 Royal Enfield Classic 350.,"The keyterm extracted are Motor insurance, Royal Enfield Classic 350"
34,3,"Mostly weekend trips. I work a regular office job, so it's just for fun.",The keyterm extracted are None
34,5,What does the comprehensive cover include?,"The keyterm extracted are Comprehensive cover, Coverage options"
34,7,Roadside assistance sounds good. Which company do you recommend?,The keyterm extracted are Roadside assistance
34,9,"Okay, and what would that cost me?",The keyterm extracted are Premiums
34,11,Discounts sound great! What kind of discounts are we talking about?,The keyterm extracted are Discounts
34,13,That's interesting. Can you apply that discount and send me a quote?,"The keyterm extracted are Discount, Quote"
35,1,"Hello, Iâ€™m interested in getting motor insurance for my bike. It's a 2022 Royal Enfield Classic 350.","The keyterm extracted are Motor insurance, bike, Royal Enfield Classic 350"
35,3,"Mostly weekend rides. I work from home, so it's just for leisure.",The keyterm extracted are None
35,5,What does the comprehensive plan include?,The keyterm extracted are Comprehensive plan
35,7,"Okay, that sounds good. What about roadside assistance?",The keyterm extracted are Roadside assistance
35,9,Which company are you with?,The keyterm extracted are None
35,11,What would be the cost for the comprehensive plan with roadside assistance for my bike?,"The keyterm extracted are Comprehensive plan, Roadside assistance, Cost"
35,13,That sounds reasonable. Can you send me more details about the coverage?,The keyterm extracted are Coverage details
36,1,I'm looking for motor insurance for my 2024 Tesla Model 3. What options do you have?,"The keyterm extracted are Motor insurance, 2024 Tesla Model 3, coverage options"
36,3,What does the comprehensive plan cover specifically?,"The keyterm extracted are Comprehensive plan, coverage options"
36,5,That's important. I worry about the battery cost. What if it gets damaged?,"The keyterm extracted are Battery cost, Damaged (implies accidental damage)"
36,7,And what about roadside assistance specifically for electric vehicles?,"The keyterm extracted are Roadside assistance, EV roadside assistance"
36,9,Which insurance company is this?,The keyterm extracted are None
36,11,How much would this comprehensive plan cost for my Tesla?,"The keyterm extracted are Comprehensive plan, Cost, Tesla"
36,13,That's a significant amount. What discounts are available?,The keyterm extracted are Discounts
37,1,I need insurance for my old car. It's a 2010 Honda Civic.,"The keyterm extracted are motor insurance, 2010 Honda Civic"
37,3,"Well, I'm retired, so I don't drive much anymore. Just want something affordable.",The keyterm extracted are Affordable (no specific insurance or coverage terms were mentioned in the input)
37,5,What does that cover?,The keyterm extracted are None
37,7,How much would that cost for the year?,The keyterm extracted are Premiums
37,9,"Okay, that sounds good. Send me the details.",The keyterm extracted are None
38,1,I'm looking for insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.,"The keyterm extracted are Motor insurance, bike, Royal Enfield Interceptor 650"
38,3,"I want good coverage, but I don't want to break the bank.","The keyterm extracted are Good coverage, Budget"
38,5,What are my options?,"The keyterm extracted are Options (Not specific enough to identify insurance policy types, coverage options, claims, add-ons, premiums, legal and regulatory terms, or budgets. However, it could potentially refer to policy types or coverage options, so I'll include it for potential relevance.)"
38,7,What about roadside assistance?,The keyterm extracted are Roadside assistance
38,9,How much would the comprehensive policy with roadside assistance cost?,"The keyterm extracted are Comprehensive policy, Roadside assistance, Cost"
38,11,That's not too bad. Does it cover theft?,The keyterm extracted are Theft
38,13,"Okay, I'm interested. Can you send me a quote?","The keyterm extracted are Quote, Premiums"
38,15,"Great, thanks!",The keyterm extracted are None
39,1,"Hi, I need insurance for my electric vehicle. It's a 2024 Tesla Model 3.","The keyterm extracted are motor insurance, electric vehicle, Tesla Model 3"
39,3,"I want the best possible coverage, including zero depreciation.","The keyterm extracted are Best possible coverage, Zero Depreciation"
39,5,What kind of coverage do you recommend?,The keyterm extracted are Coverage options
39,7,What does the zero depreciation cover actually do?,The keyterm extracted are Zero Depreciation
39,9,How much would that cost?,The keyterm extracted are Premiums
39,11,Is there anything else I should consider?,The keyterm extracted are None
39,13,"Okay, that sounds good. Let's go with that.",The keyterm extracted are None
40,1,I need to get insurance for my car. It's a 2010 Honda Civic.,"The keyterm extracted are Car insurance, Honda Civic, 2010"
40,3,"I'm on a fixed income, so I need something affordable, but I still want to be covered if something happens.","The keyterm extracted are Affordable, Coverage"
40,5,What's the minimum I need?,The keyterm extracted are Minimum (No specific insurance-related terms found)
40,7,How much more is that?,The keyterm extracted are Premiums
40,9,What if I have an accident? Is it hard to file a claim?,"The keyterm extracted are Accident, Claim"
40,11,"Okay, that sounds good. What about discounts?",The keyterm extracted are Discounts
40,13,That's helpful. Can you send me a quote for the comprehensive policy with the discount?,"The keyterm extracted are Comprehensive policy, discount, quote"
40,15,Thank you!,The keyterm extracted are None
41,1,"Hello, I'm interested in getting motor insurance for my car. It's a 2022 Maruti Suzuki Swift.","The keyterm extracted are Motor insurance, 2022 Maruti Suzuki Swift"
41,3,"Yes, I think comprehensive coverage would be best. I want to make sure I'm covered in case of any accidents or damages.","The keyterm extracted are Comprehensive coverage, Accidents, Damages"
41,5,That sounds good. What kind of features does your comprehensive policy include?,"The keyterm extracted are Comprehensive policy, Features"
