conversation_id,turn_no,speaker,utterance,sentiment_answer
6,1,User,I need insurance for my 2018 Honda CBR250R. What are my options?,The sentiment is neutral
6,3,User,"Well, I'm a student, so budget is definitely a concern. But I also don't want to be completely exposed if something happens.",The sentiment is negative
6,5,User,"Okay, what's the difference in price between the minimum and a more comprehensive option?",The sentiment is neutral
6,7,User,"Hmm, $200 is a decent jump. What does the comprehensive policy actually cover on my bike?",The sentiment is positive
6,9,User,"Okay, that does sound better than just liability. Do you offer any discounts for students?",The sentiment is positive
7,1,User,I'm looking for insurance for my 2020 Maruti Suzuki Baleno. Can you help me with that?,The sentiment is neutral
7,3,User,Safety for my family is my top priority. I want to make sure everyone is covered in case of an accident.,The sentiment is positive
7,5,User,What kind of personal accident cover do you offer for passengers?,The sentiment is neutral
7,7,User,"That's good to know. I also worry about the car getting damaged, especially with kids around!",The sentiment is negative
7,9,User,What's the claim process like? I don't want a lot of hassle if I need to make a claim.,The sentiment is negative
7,11,User,"Okay, that's reassuring. How much would a comprehensive policy with personal accident cover cost for my Baleno?",The sentiment is positive
8,1,User,"Hi, I'm interested in getting insurance for my bike, a 2022 Royal Enfield Interceptor 650.",The sentiment is positive
8,3,User,A hassle-free claim process is definitely important. I don't want to spend hours on paperwork if something happens.,The sentiment is positive
8,5,User,"Okay, that sounds promising. What kind of coverage options do you offer?",The sentiment is positive
8,7,User,What's the approximate cost difference between the two?,The sentiment is neutral
8,9,User,That's a fair point. What add-ons would you recommend for the comprehensive policy?,The sentiment is positive
8,11,User,"Okay, roadside assistance sounds useful. How much would that add to the premium?",The sentiment is positive
8,13,User,"Alright, I'm interested. Can you send me a quote with the comprehensive coverage and roadside assistance?",The sentiment is positive
9,1,User,"Hi, I'm looking to get insurance for my new bike. It's a 2024 Royal Enfield Himalayan.",The sentiment is positive
9,3,User,"Mostly leisure, weekend rides. I want something reliable, but I'm also on a budget.",The sentiment is negative
9,5,User,"Okay, good to know. What kind of coverage options do you have for the Himalayan?",The sentiment is neutral
9,7,User,What add-ons are worth considering?,The sentiment is neutral
9,9,User,That sounds useful. How much would the comprehensive policy with roadside assistance cost?,The sentiment is positive
9,11,User,"Okay, I'm interested. What's the next step?",The sentiment is positive
10,1,User,"Hi, I'm interested in getting motor insurance for my bike. It's a 2022 Yamaha MT-07.",The sentiment is positive
10,3,User,That's good to know. What kind of coverage options do you have?,The sentiment is positive
10,5,User,What's the difference in price between the two?,The sentiment is neutral
10,7,User,"Okay, that's a significant jump. What does the comprehensive policy actually cover?",The sentiment is negative
10,9,User,What about roadside assistance?,The sentiment is negative
10,11,User,"Okay, I think I'd like to go with the comprehensive coverage. Can you give me a quote with roadside assistance?",The sentiment is positive
10,13,User,That sounds reasonable. Let's proceed with that.,The sentiment is positive
11,1,User,I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.,The sentiment is positive
11,3,User,What makes Bajaj Allianz a good choice?,The sentiment is positive
11,5,User,What kind of coverage options are available?,The sentiment is neutral
11,7,User,What does the comprehensive policy cover?,The sentiment is neutral
11,9,User,That sounds good. What about the claim process?,The sentiment is positive
11,11,User,And what would be the cost of the comprehensive policy?,The sentiment is neutral
11,13,User,"Okay, that seems reasonable. Can you send me a quote?",The sentiment is positive
12,1,User,"Hi, I'm interested in getting a motor insurance quote for my 2022 Royal Enfield Classic 350.",The sentiment is positive
12,3,User,"Yes, exactly. I don't use it for daily commuting, mostly weekend rides.",The sentiment is positive
12,5,User,What does the standard plan cover?,The sentiment is neutral
12,7,User,"Okay, and how much would that cost?",The sentiment is positive
12,9,User,Are there any discounts available?,The sentiment is neutral
12,11,User,That sounds good. I'm happy to purchase online.,The sentiment is positive
12,13,User,"Okay, let's proceed with the online purchase then.",The sentiment is positive
13,1,User,I'm looking to insure my bike. It's a 2022 Yamaha MT-07.,The sentiment is positive
13,3,User,Mostly for commuting to work daily.,The sentiment is neutral
13,5,User,What does the comprehensive plan cover exactly?,The sentiment is neutral
13,7,User,"Okay, that sounds good. How about roadside assistance?",The sentiment is positive
13,9,User,What company is this through?,The sentiment is neutral
13,11,User,And the cost?,The sentiment is negative
13,13,User,Telematics? Tell me more.,The sentiment is positive
13,15,User,"Okay, that sounds interesting. Send me the details and I will review it.",The sentiment is positive
14,1,User,"Hi, I'm looking for car insurance for my 2018 Tesla Model 3.",The sentiment is positive
14,3,User,"Yes, I want the best protection possible. Money isn't really an issue, but I need to know my car is fully covered.",The sentiment is positive
14,5,User,What kind of coverage are we talking about?,The sentiment is neutral
14,7,User,"Zero depreciation sounds essential. What about coverage for the battery? It's an EV, after all.",The sentiment is positive
14,9,User,What's the premium for this level of coverage?,The sentiment is positive
14,11,User,That sounds reasonable. What is the Insured Declared Value (IDV)?,The sentiment is positive
14,13,User,Great. How do I proceed with purchasing this policy?,The sentiment is positive
15,1,User,I need to renew my car insurance. It's for a 2010 Honda Civic.,The sentiment is neutral
15,3,User,"I'm on a fixed income, so price is definitely a factor. But I still need decent coverage.",The sentiment is negative
15,5,User,What does that actually cover?,The sentiment is neutral
15,7,User,"Hmm, I see. How much would that cost?",The sentiment is neutral
15,9,User,Is there anything else I should consider?,The sentiment is neutral
15,11,User,How much would that add to the premium?,The sentiment is positive
15,13,User,"Okay, that doesn't sound too bad. What about discounts?",The sentiment is positive
15,15,User,"Alright, that sounds good. Let's go with the third-party liability and the personal accident cover.",The sentiment is positive
16,1,User,"Hi, I'm interested in getting motor insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.",The sentiment is positive
16,3,User,Mostly weekend rides. I like to take it out on the open road when I have time.,The sentiment is positive
16,5,User,Roadside assistance does sound good. What exactly does your comprehensive policy cover?,The sentiment is positive
16,7,User,"Okay, good to know. How much would a comprehensive policy cost me?",The sentiment is positive
16,9,User,That sounds reasonable. Does it include zero depreciation?,The sentiment is positive
16,11,User,"Okay, that's good to know. I'm interested. Can you send me a quote with and without the zero depreciation cover?",The sentiment is positive
17,1,User,"Hi, I'm looking to get insurance for my bike. It's a 2022 Yamaha MT-07.",The sentiment is positive
17,3,User,"Yeah, I was thinking comprehensive would be best. I commute in heavy traffic, so I want to be covered. What are my options?",The sentiment is positive
17,5,User,"Okay, good to know. What kind of coverage levels are we talking about?",The sentiment is neutral
17,7,User,That sounds pretty good. What about add-ons? Are there any I should consider?,The sentiment is positive
17,9,User,"Roadside assistance does sound useful. Okay, what's the damage? How much would all of this cost?",The sentiment is positive
17,11,User,That sounds reasonable. Can you send me a quote with all the details?,The sentiment is positive
18,1,User,"Hi, I'm looking to get insurance for my bike. It's a 2022 Yamaha MT-07.",The sentiment is positive
18,3,User,"Yes, I use it every day for my commute. What kind of coverage do you recommend?",The sentiment is positive
18,5,User,Roadside assistance sounds useful. What else does the comprehensive policy cover?,The sentiment is positive
18,7,User,"Okay, that sounds good. Which company do you recommend?",The sentiment is positive
18,9,User,And what's the premium for the comprehensive policy with Bajaj Allianz?,The sentiment is positive
18,11,User,That sounds pretty reasonable. I am interested in the policy. Can I get additional discount on it?,The sentiment is positive
18,13,User,"Sure, that sounds great. Please provide me with the discount.",The sentiment is positive
19,1,User,"Hi, I am looking for a motor insurance policy for my bike. It's a 2022 Royal Enfield Classic 350.",The sentiment is positive
19,3,User,What all is covered in a comprehensive policy?,The sentiment is neutral
19,5,User,That sounds good. What would be the premium for a comprehensive policy?,The sentiment is positive
19,7,User,Are there any add-ons available with this policy?,The sentiment is neutral
19,9,User,What is Zero Depreciation Cover?,The sentiment is neutral
19,11,User,"Okay, that makes sense. How much would the policy cost with Zero Depreciation and Roadside Assistance?",The sentiment is positive
19,13,User,That sounds like a good deal. Can you send me more details about the policy?,The sentiment is positive
19,15,User,Thank you. I look forward to receiving it.,The sentiment is positive
20,1,User,I need to insure my 2024 Tesla Model 3. What are my options?,The sentiment is neutral
20,3,User,What kind of coverage do you recommend?,The sentiment is neutral
20,5,User,Why is IDV important?,The sentiment is negative
20,7,User,And what about coverage for the battery? It’s an electric car.,The sentiment is negative
20,9,User,How much will all this cost?,The sentiment is negative
20,11,User,That's a bit expensive. Are there any discounts available?,The sentiment is negative
20,13,User,"Okay, that sounds interesting. Tell me more about the usage-based insurance.",The sentiment is positive
21,1,User,"Hi, I'm looking for car insurance for my daughter. She just got a 2018 Honda CR-V.",The sentiment is positive
21,3,User,What does the comprehensive policy cover?,The sentiment is neutral
21,5,User,What about roadside assistance? Is that included?,The sentiment is neutral
21,7,User,How much would the comprehensive policy with roadside assistance cost?,The sentiment is positive
21,9,User,Are there any discounts for new drivers?,The sentiment is neutral
21,11,User,"Okay, good to know. What about the company's reputation?",The sentiment is neutral
21,13,User,That sounds pretty good. Can you send me a quote?,The sentiment is positive
22,1,User,"Hi, I'm looking for motor insurance for my bike, a 2022 Royal Enfield Interceptor 650.",The sentiment is neutral
22,3,User,"Mostly weekend rides and occasional trips. I'm pretty careful, but you never know.",The sentiment is neutral
22,5,User,That's reassuring. What kind of coverage would you recommend?,The sentiment is positive
22,7,User,"Okay, what about the claims process if something happens?",The sentiment is neutral
22,9,User,That sounds good. What would be the premium for the comprehensive policy?,The sentiment is positive
22,11,User,That's not too bad. What about add-ons like roadside assistance?,The sentiment is positive
22,13,User,"Okay, that sounds good. Can you send me a quote with the roadside assistance included?",The sentiment is positive
23,1,User,"Hi, I want to get insurance for my bike. It's a 2022 Royal Enfield Classic 350.",The sentiment is positive
23,3,User,What kind of coverage options do you offer?,The sentiment is neutral
23,5,User,What is the cost of comprehensive coverage?,The sentiment is neutral
23,7,User,Does it include roadside assistance?,The sentiment is neutral
23,9,User,"Okay, that sounds good. What about the company's reputation?",The sentiment is neutral
23,11,User,That's reassuring. Can you send me a quote with the comprehensive coverage and roadside assistance?,The sentiment is positive
24,1,User,I'm looking for motor insurance for my 2022 Royal Enfield Classic 350.,The sentiment is positive
24,3,User,"I want something reliable that won't break the bank, but I also want to be covered if anything happens.",The sentiment is neutral
24,5,User,"Okay, what does that include?",The sentiment is neutral
24,7,User,What about add-ons? Are there any that are worth considering?,The sentiment is neutral
24,9,User,That sounds great. What would the premium be for a comprehensive policy with the NCB discount for my bike?,The sentiment is positive
24,11,User,That sounds reasonable. I'm interested. Can you send me the details?,The sentiment is positive
25,1,User,"Hello, I'm looking to insure my car. It's a 2022 Tesla Model 3.",The sentiment is positive
25,3,User,What does 'comprehensive' actually cover?,The sentiment is neutral
25,5,User,"Okay, that sounds good. Which company do you recommend?",The sentiment is positive
25,7,User,And how much would that cost me?,The sentiment is neutral
25,9,User,Are there any discounts available?,The sentiment is neutral
25,11,User,"Okay, that sounds promising. I'm interested.",The sentiment is positive
26,1,User,"Hi, I want to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.",The sentiment is positive
26,3,User,"I guess something in between. I don't ride every day, but I want to be covered if something happens.",The sentiment is neutral
26,5,User,"Okay, what kind of coverage would you recommend?",The sentiment is positive
26,7,User,How much would that cost?,The sentiment is neutral
26,9,User,That sounds reasonable. What about roadside assistance?,The sentiment is positive
26,11,User,"Okay, that's good to know. Can you send me a quote?",The sentiment is positive
27,1,User,"Hi, I'm looking to get insurance for my bike. It's a 2022 Yamaha MT-07.",The sentiment is positive
27,3,User,"I use it for daily commuting to work. Safety is important to me, but I'm also looking for a plan that's good value for money.",The sentiment is neutral
27,5,User,What does the comprehensive coverage include?,The sentiment is neutral
27,7,User,And what about if my bike breaks down? Is there any coverage for that?,The sentiment is negative
27,9,User,"Okay, that sounds good. How much would all of that cost?",The sentiment is positive
27,11,User,That sounds reasonable. Can you send me a detailed quote?,The sentiment is positive
28,1,User,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Classic 350.",The sentiment is positive
28,3,User,What does comprehensive cover?,The sentiment is neutral
28,5,User,What company do you recommend?,The sentiment is neutral
28,7,User,And how much would that cost me?,The sentiment is neutral
28,9,User,Are there any discounts available?,The sentiment is neutral
28,11,User,"Ok, what add-ons do you recommend?",The sentiment is positive
28,13,User,"Okay, that sounds good. Can you send me a quote with the comprehensive coverage and roadside assistance?",The sentiment is positive
29,1,User,"Hi, I'm interested in getting a motor insurance quote for my bike. It's a 2022 Royal Enfield Classic 350.",The sentiment is positive
29,3,User,"I mostly use it for weekend rides, so I'm looking for something that offers good value without breaking the bank.",The sentiment is negative
29,5,User,What exactly does a comprehensive policy cover for bikes?,The sentiment is neutral
29,7,User,Is there any benefit if I haven't made any claims on my previous insurance?,The sentiment is neutral
29,9,User,That's great! How much would the comprehensive policy with the NCB discount cost me?,The sentiment is positive
29,11,User,"Okay, that sounds pretty good. Which insurance company are you recommending?",The sentiment is positive
29,13,User,"Alright, I think I'm interested. Can you send me a quote with the details?",The sentiment is positive
30,1,User,"Hi, I'm interested in getting motor insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.",The sentiment is positive
30,3,User,"Exactly. I don't use it every day, but when I do, I want to be sure I'm covered if something happens.",The sentiment is positive
30,5,User,What kind of coverage options do you have for bikes like mine?,The sentiment is neutral
30,7,User,How much more expensive is comprehensive?,The sentiment is positive
30,9,User,That's interesting. What else does the comprehensive policy include?,The sentiment is positive
30,11,User,"Roadside assistance is a nice bonus. Okay, sounds good. Send me the details.",The sentiment is positive
31,1,User,I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.,The sentiment is positive
31,3,User,"I want good coverage, but I'm also budget-conscious. I don't ride every day, mostly weekends.",The sentiment is neutral
31,5,User,"What does 'comprehensive' actually cover, though?",The sentiment is neutral
31,7,User,What about the claim process? I've heard it can be a nightmare.,The sentiment is negative
31,9,User,"Okay, that's reassuring. How much would the comprehensive coverage cost?",The sentiment is positive
31,11,User,Roadside assistance sounds good. What does that cover?,The sentiment is positive
31,13,User,"Okay, sounds like a good package. Can I see a detailed quote?",The sentiment is positive
31,15,User,"Yes, please include that! Thanks!",The sentiment is positive
32,1,User,"Hi, I need insurance for my new electric vehicle. It's a 2024 Tata Nexon EV.",The sentiment is positive
32,3,User,"Yes, definitely. I want to make sure it's fully covered. I drive it to work every day, and I have a family to consider, so safety is paramount.",The sentiment is positive
32,5,User,What does the personal accident cover include?,The sentiment is neutral
32,7,User,That sounds important. Are there any specific features that are good for EVs?,The sentiment is positive
32,9,User,What about the insurance company itself? I want to be sure it's reliable.,The sentiment is positive
32,11,User,How much would all of this cost?,The sentiment is negative
32,13,User,What is Telematics-Based Monitoring?,The sentiment is neutral
32,15,User,"That's interesting! Okay, send me a detailed quote, please.",The sentiment is positive
33,1,User,"I need to get insurance for my car, a 2020 Maruti Suzuki Swift.",The sentiment is positive
33,3,User,"I'm a student, so definitely budget-conscious, but I don't want to be completely unprotected.",The sentiment is negative
33,5,User,What's included in the basic plan?,The sentiment is neutral
33,7,User,Does it cover damage to my own car?,The sentiment is negative
33,9,User,How much is the third-party liability coverage?,The sentiment is positive
33,11,User,A digital discount? How much is that?,The sentiment is negative
33,13,User,That sounds good. I'm comfortable buying online.,The sentiment is positive
33,15,User,"Yes, please do! Thanks!",The sentiment is positive
34,1,User,I'm looking to insure my bike. It's a 2022 Royal Enfield Classic 350.,The sentiment is positive
34,3,User,"Mostly weekend trips. I work a regular office job, so it's just for fun.",The sentiment is positive
34,5,User,What does the comprehensive cover include?,The sentiment is neutral
34,7,User,Roadside assistance sounds good. Which company do you recommend?,The sentiment is positive
34,9,User,"Okay, and what would that cost me?",The sentiment is positive
34,11,User,Discounts sound great! What kind of discounts are we talking about?,The sentiment is positive
34,13,User,That's interesting. Can you apply that discount and send me a quote?,The sentiment is positive
35,1,User,"Hello, I’m interested in getting motor insurance for my bike. It's a 2022 Royal Enfield Classic 350.",The sentiment is positive
35,3,User,"Mostly weekend rides. I work from home, so it's just for leisure.",The sentiment is positive
35,5,User,What does the comprehensive plan include?,The sentiment is neutral
35,7,User,"Okay, that sounds good. What about roadside assistance?",The sentiment is positive
35,9,User,Which company are you with?,The sentiment is neutral
35,11,User,What would be the cost for the comprehensive plan with roadside assistance for my bike?,The sentiment is positive
35,13,User,That sounds reasonable. Can you send me more details about the coverage?,The sentiment is positive
36,1,User,I'm looking for motor insurance for my 2024 Tesla Model 3. What options do you have?,The sentiment is neutral
36,3,User,What does the comprehensive plan cover specifically?,The sentiment is neutral
36,5,User,That's important. I worry about the battery cost. What if it gets damaged?,The sentiment is negative
36,7,User,And what about roadside assistance specifically for electric vehicles?,The sentiment is neutral
36,9,User,Which insurance company is this?,The sentiment is neutral
36,11,User,How much would this comprehensive plan cost for my Tesla?,The sentiment is positive
36,13,User,That's a significant amount. What discounts are available?,The sentiment is positive
37,1,User,I need insurance for my old car. It's a 2010 Honda Civic.,The sentiment is neutral
37,3,User,"Well, I'm retired, so I don't drive much anymore. Just want something affordable.",The sentiment is positive
37,5,User,What does that cover?,The sentiment is neutral
37,7,User,How much would that cost for the year?,The sentiment is positive
37,9,User,"Okay, that sounds good. Send me the details.",The sentiment is positive
38,1,User,I'm looking for insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.,The sentiment is positive
38,3,User,"I want good coverage, but I don't want to break the bank.",The sentiment is negative
38,5,User,What are my options?,The sentiment is neutral
38,7,User,What about roadside assistance?,The sentiment is negative
38,9,User,How much would the comprehensive policy with roadside assistance cost?,The sentiment is positive
38,11,User,That's not too bad. Does it cover theft?,The sentiment is positive
38,13,User,"Okay, I'm interested. Can you send me a quote?",The sentiment is positive
38,15,User,"Great, thanks!",The sentiment is positive
39,1,User,"Hi, I need insurance for my electric vehicle. It's a 2024 Tesla Model 3.",The sentiment is positive
39,3,User,"I want the best possible coverage, including zero depreciation.",The sentiment is positive
39,5,User,What kind of coverage do you recommend?,The sentiment is neutral
39,8,User,What does the zero depreciation cover actually do?,The sentiment is negative
39,10,User,How much would that cost?,The sentiment is neutral
39,12,User,Is there anything else I should consider?,The sentiment is neutral
39,15,User,"Okay, that sounds good. Let's go with that.",The sentiment is positive
40,1,User,I need to get insurance for my car. It's a 2010 Honda Civic.,The sentiment is neutral
40,3,User,"I'm on a fixed income, so I need something affordable, but I still want to be covered if something happens.",The sentiment is neutral
40,5,User,What's the minimum I need?,The sentiment is negative
40,7,User,How much more is that?,The sentiment is negative
40,9,User,What if I have an accident? Is it hard to file a claim?,The sentiment is negative
40,11,User,"Okay, that sounds good. What about discounts?",The sentiment is positive
40,13,User,That's helpful. Can you send me a quote for the comprehensive policy with the discount?,The sentiment is positive
40,15,User,Thank you!,The sentiment is positive
41,1,User,"Hello, I'm interested in getting motor insurance for my car. It's a 2022 Maruti Suzuki Swift.",The sentiment is positive
41,3,User,"Yes, I think comprehensive coverage would be best. I want to make sure I'm covered in case of any accidents or damages.",The sentiment is positive
41,5,User,That sounds good. What kind of features does your comprehensive policy include?,The sentiment is positive
41,7,User,Zero depreciation sounds interesting. Can you explain that?,The sentiment is positive
41,9,User,"Okay, that makes sense. What about roadside assistance?",The sentiment is positive
41,11,User,What is the premium cost for the policy?,The sentiment is neutral
41,13,User,"Bajaj Allianz is a reputable brand, right?",The sentiment is positive
41,15,User,"Okay, that sounds good. I'm interested. Can you send me more details about the policy?",The sentiment is positive
42,1,User,"Hi, I am interested in purchasing motor insurance for my brand new 2024 Tesla Model 3. What are my options?",The sentiment is positive
42,3,User,What does comprehensive coverage include exactly?,The sentiment is neutral
42,5,User,What about the battery? Is that covered under a comprehensive plan?,The sentiment is negative
42,7,User,What are the add-ons you would recommend?,The sentiment is neutral
42,9,User,"Okay, that sounds good. How much would that cost me annually?",The sentiment is positive
42,11,User,That's a bit pricey. Are there any discounts available?,The sentiment is negative
42,13,User,"Okay, that’s helpful. Can you send me a detailed quote with all the discounts applied?",The sentiment is positive
42,15,User,"Great, thank you for your help!",The sentiment is positive
43,1,User,I'm looking for insurance for my 2010 Honda Civic. What's the cheapest option you have?,The sentiment is positive
43,3,User,What does a third-party policy cover?,The sentiment is neutral
43,5,User,How much more would a comprehensive policy cost?,The sentiment is negative
43,7,User,Is there any way to lower the cost?,The sentiment is negative
43,9,User,What's the deductible?,The sentiment is neutral
43,11,User,"Okay, I see. What if I get into an accident and my car is totaled?",The sentiment is neutral
43,13,User,"Okay, that makes sense. Let's go with the comprehensive policy with the increased deductible.",The sentiment is positive
44,1,User,"Hi, I'm interested in insuring my 2022 Yamaha MT-07. What are my options?",The sentiment is positive
44,3,User,Mostly for weekend rides and occasional commutes when the weather is nice. I am a student.,The sentiment is neutral
44,5,User,What's the difference between comprehensive and third-party?,The sentiment is neutral
44,7,User,I see. What if my bike gets stolen?,The sentiment is negative
44,9,User,"Okay, good to know. What is Insured Declared Value (IDV)?",The sentiment is neutral
44,11,User,How much would the comprehensive policy cost me?,The sentiment is negative
44,13,User,"Okay, that sounds reasonable. What about roadside assistance?",The sentiment is positive
45,1,User,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.",The sentiment is positive
45,3,User,"Yes, definitely. I don't want to be stuck dealing with paperwork for weeks if something happens.",The sentiment is positive
45,5,User,"Okay, that sounds good. What kind of coverage options do you have?",The sentiment is positive
45,7,User,What's the difference in price between the two?,The sentiment is neutral
45,9,User,"Hmm, $950 is a bit more than I was expecting. Are there any discounts available?",The sentiment is negative
45,11,User,"Okay, that helps. So what's the final price with the discount?",The sentiment is positive
45,13,User,"Alright, that sounds like a fair deal. I'm interested. Can you send me the policy details?",The sentiment is positive
46,1,User,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Classic 350.",The sentiment is positive
46,3,User,Mostly for weekend rides. I don't use it for commuting to work.,The sentiment is negative
46,5,User,What's included in a comprehensive plan?,The sentiment is neutral
46,7,User,"Okay, that sounds good. What about roadside assistance? Is that an option?",The sentiment is positive
46,9,User,And how much would all of that cost for my bike?,The sentiment is negative
46,11,User,Which company are you with?,The sentiment is neutral
46,13,User,"Okay, that sounds pretty good. Can you send me a quote?",The sentiment is positive
47,1,User,"Hi, I need insurance for my new Tata Nexon EV 2024. What are my options?",The sentiment is positive
47,3,User,"Yes, exactly. I want something comprehensive, as I drive daily and have my kids in the car sometimes.",The sentiment is positive
47,5,User,What does the Personal Accident Cover include?,The sentiment is neutral
47,7,User,That sounds essential. Which company offers this?,The sentiment is positive
47,9,User,Are there any other benefits?,The sentiment is positive
47,11,User,That's a bit more than I expected. Are there any discounts available?,The sentiment is negative
47,13,User,"Okay, I'm interested. Can you send me a detailed quote with the discount applied?",The sentiment is positive
48,1,User,"Hi, I'm looking for motor insurance for my 2010 Maruti Suzuki Swift. What options do you have?",The sentiment is neutral
48,3,User,"Well, I'm retired now, so I'm on a budget. But I still want to be protected.",The sentiment is positive
48,5,User,How much more are we talking about?,The sentiment is negative
48,7,User,I see. Which company do you recommend?,The sentiment is positive
48,9,User,"Okay, that's good to know. How much would the comprehensive policy cost in total?",The sentiment is positive
48,11,User,Are there any other discounts available?,The sentiment is neutral
49,1,User,"Hi, I'm looking for motor insurance for my bike, a 2022 Royal Enfield Interceptor 650.",The sentiment is neutral
49,3,User,"I'm not too concerned about the absolute lowest price, but I want good value. I don't ride it daily, more for weekend trips. So, comprehensive cover is important.",The sentiment is neutral
49,5,User,"Okay, what does the comprehensive cover actually include?",The sentiment is neutral
49,7,User,What about roadside assistance? Is that an extra?,The sentiment is negative
49,9,User,How much would the comprehensive policy with roadside assistance cost?,The sentiment is positive
49,11,User,That sounds reasonable. Which company are you with?,The sentiment is positive
49,13,User,"Okay, ICICI Lombard. Can you send me a quote with all the details?",The sentiment is positive
50,1,User,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.",The sentiment is positive
50,3,User,I want something that is reasonable. I don't drive it every day but I want to be protected if anything happens.,The sentiment is positive
50,5,User,What kind of coverage options are available?,The sentiment is neutral
50,7,User,Is there anything special I should know about Bajaj Allianz?,The sentiment is neutral
50,9,User,"Okay, that sounds good. What would the comprehensive coverage cost me for the year?",The sentiment is positive
50,11,User,That sounds reasonable. Tell me more about the digital purchase discount.,The sentiment is positive
50,13,User,"Ok, that's good to know. I think I'm ready to go ahead and purchase the comprehensive coverage online.",The sentiment is positive
51,1,User,I need to insure my car. It's a brand new 2024 Tesla Model 3.,The sentiment is positive
51,3,User,"Yes, definitely. I want the best possible coverage, especially for the battery and other EV-specific parts.",The sentiment is positive
51,5,User,What kind of specific EV coverage do you offer?,The sentiment is neutral
51,7,User,Is HDFC Ergo a reliable insurance provider?,The sentiment is negative
51,9,User,"Okay, and what would a policy like that cost me annually?",The sentiment is neutral
51,11,User,That's a bit more than I expected. What features make it worth that price?,The sentiment is neutral
51,13,User,"Okay, I understand the value of that coverage. Can you send me some more detailed information about the policy?",The sentiment is positive
52,1,User,"Hi, I'm interested in getting insurance for my car. It's a 2018 Maruti Suzuki Baleno.",The sentiment is positive
52,3,User,"I need something reliable and affordable, since I have a family to take care of.",The sentiment is negative
52,5,User,What are the key features of Reliance General Insurance?,The sentiment is neutral
52,7,User,Is Reliance General Insurance a reputable company?,The sentiment is negative
52,9,User,"Okay, what would be the cost for a comprehensive policy for my car?",The sentiment is positive
52,11,User,Is it possible to lower the price?,The sentiment is negative
52,13,User,I haven't had any accidents. How do I claim this discount?,The sentiment is positive
53,1,User,I'm looking to insure my 2022 Royal Enfield Interceptor 650. What are my options?,The sentiment is neutral
